store,day,date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
Ozeki,Wednesday,30-Jan-19,1,1,1,1,1,1,1,1,1,1,0,0,2,0,0,0,2,0,0,0,2,0,1,1
Ozeki,Thursday,31-Jan-19,1,1,1,1,1,1,1,1,1,1,0,0,2,0,0,0,2,0,0,0,2,0,1,1
Ozeki,Friday,01-Feb-19,1,1,1,1,1,1,1,1,1,1,0,0,2,0,0,0,2,0,0,0,2,0,1,1
Ozeki,Saturday,02-Feb-19,1,1,1,1,1,1,1,1,1,1,0,0,2,0,0,0,2,0,0,0,2,0,1,1
Ozeki,Sunday,03-Feb-19,1,1,1,1,1,1,1,1,1,1,0,0,2,0,0,0,2,0,0,0,2,0,1,1
Ozeki,Monday,04-Feb-19,1,1,1,1,1,1,1,1,1,1,0,0,2,0,0,0,2,0,0,0,2,0,1,1
Ozeki,Tuesday,05-Feb-19,1,1,1,1,1,1,1,1,1,1,0,0,2,0,0,0,2,0,0,0,2,0,1,1
Ozeki,Wednesday,06-Feb-19,1,1,1,1,1,1,1,1,1,1,0,0,2,0,0,0,2,0,0,0,2,0,1,1
Ozeki,Thursday,07-Feb-19,1,1,1,1,1,1,1,1,1,1,0,0,2,0,0,0,2,0,0,0,2,0,1,1
Ozeki,Friday,08-Feb-19,1,1,1,1,1,1,1,1,1,1,0,0,2,0,0,0,2,0,0,0,2,0,1,1
Ozeki,Saturday,09-Feb-19,1,1,1,1,1,1,1,1,1,1,0,0,2,0,0,0,2,0,0,0,2,0,1,1
Ozeki,Sunday,10-Feb-19,1,1,1,1,1,1,1,1,1,1,0,0,2,0,0,0,2,0,0,0,2,0,1,1
Ozeki,Monday,11-Feb-19,1,1,1,1,1,1,1,1,1,1,0,0,2,0,0,0,2,0,0,0,2,0,1,1
Ozeki,Tuesday,12-Feb-19,1,1,1,1,1,1,1,1,1,1,0,0,2,0,0,0,2,0,0,0,2,0,1,1
Ozeki,Wednesday,13-Feb-19,1,1,1,1,1,1,1,1,1,1,0,0,2,0,0,0,2,0,0,0,2,0,1,1
Ozeki,Thursday,14-Feb-19,1,1,1,1,1,1,1,1,1,1,0,0,2,0,0,0,2,0,0,0,2,0,1,1
Ozeki,Friday,15-Feb-19,1,1,1,1,1,1,1,1,1,1,0,0,2,0,0,0,2,0,0,0,2,0,1,1
Ozeki,Saturday,16-Feb-19,1,1,1,1,1,1,1,1,1,1,0,0,2,0,0,0,2,0,0,0,2,0,1,1
Ozeki,Sunday,17-Feb-19,1,1,1,1,1,1,1,1,1,1,0,0,2,0,0,0,2,0,0,0,2,0,1,1
Ozeki,Monday,18-Feb-19,1,1,1,1,1,1,1,1,1,1,0,0,2,0,0,0,2,0,0,0,2,0,1,1
Ozeki,Tuesday,19-Feb-19,1,1,1,1,1,1,1,1,1,1,0,0,2,0,0,0,2,0,0,0,2,0,1,1
Ozeki,Wednesday,20-Feb-19,1,1,1,1,1,1,1,1,1,1,0,0,2,0,0,0,2,0,0,0,2,0,1,1
Ozeki,Thursday,21-Feb-19,1,1,1,1,1,1,1,1,1,1,0,0,2,0,0,0,2,0,0,0,2,0,1,1
Ozeki,Friday,22-Feb-19,1,1,1,1,1,1,1,1,1,1,0,0,2,0,0,0,2,0,0,0,2,0,1,1
Ozeki,Saturday,23-Feb-19,1,1,1,1,1,1,1,1,1,1,0,0,2,0,0,0,2,0,0,0,2,0,1,1
Ozeki,Sunday,24-Feb-19,1,1,1,1,1,1,1,1,1,1,0,0,2,0,0,0,2,0,0,0,2,0,1,1
Ozeki,Monday,25-Feb-19,1,1,1,1,1,1,1,1,1,1,0,0,2,0,0,0,2,0,0,0,2,0,1,1
Ozeki,Tuesday,26-Feb-19,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
